dataElement,period,orgUnit,categoryOptionCombo,attributeOptionCombo,value
Dg1bwchgXcv,202401,ncgkwcQrfmc,OzOBIqBIylk,fpkkdSpN6kR,48
Dg1bwchgXcv,202401,ncgkwcQrfmc,xC0Bev6VL9W,fpkkdSpN6kR,1
Dg1bwchgXcv,202401,ncgkwcQrfmc,DUpTfeDojlc,fpkkdSpN6kR,49
Dg1bwchgXcv,202401,ncgkwcQrfmc,tff9UIWRege,fpkkdSpN6kR,154
Dg1bwchgXcv,202401,ncgkwcQrfmc,CGAROciU598,fpkkdSpN6kR,12
Dg1bwchgXcv,202401,ncgkwcQrfmc,eyINJfVE1JN,fpkkdSpN6kR,2
Dg1bwchgXcv,202401,ncgkwcQrfmc,dIXDXFZ3QHJ,fpkkdSpN6kR,1
Dg1bwchgXcv,202401,ncgkwcQrfmc,AbJmYmRFrjB,fpkkdSpN6kR,2
Dg1bwchgXcv,202401,ncgkwcQrfmc,IFCTPpLffYI,fpkkdSpN6kR,4
Dg1bwchgXcv,202401,ncgkwcQrfmc,k8HejSw4xse,fpkkdSpN6kR,1
Dg1bwchgXcv,202401,ncgkwcQrfmc,AaEnWZ7F7VL,fpkkdSpN6kR,177
Dg1bwchgXcv,202401,ncgkwcQrfmc,Zzw4bzbXIBm,fpkkdSpN6kR,151
Dg1bwchgXcv,202401,ncgkwcQrfmc,yndRUumajRM,fpkkdSpN6kR,4
Dg1bwchgXcv,202401,ncgkwcQrfmc,OInn7NT9hvZ,fpkkdSpN6kR,2
Dg1bwchgXcv,202401,ncgkwcQrfmc,ay1MFcxer0v,fpkkdSpN6kR,47
Dg1bwchgXcv,202401,ncgkwcQrfmc,s9ULZSIftQ0,fpkkdSpN6kR,23
Dg1bwchgXcv,202401,ncgkwcQrfmc,iHgQ0uqKPbO,fpkkdSpN6kR,2
Dg1bwchgXcv,202401,ncgkwcQrfmc,UHNRYz6tXRF,fpkkdSpN6kR,6
Dg1bwchgXcv,202401,ncgkwcQrfmc,VU7VF5FZfSu,fpkkdSpN6kR,79
Dg1bwchgXcv,202401,ncgkwcQrfmc,Aq0EOSQ2KEk,fpkkdSpN6kR,1
Dg1bwchgXcv,202401,ncgkwcQrfmc,bOMHq9tVShh,fpkkdSpN6kR,275
Dg1bwchgXcv,202401,ncgkwcQrfmc,etcu0kut3Ez,fpkkdSpN6kR,1
Dg1bwchgXcv,202401,ncgkwcQrfmc,xaozVLLEwhS,fpkkdSpN6kR,21
Dg1bwchgXcv,202401,ncgkwcQrfmc,sVwmzNdf9DY,fpkkdSpN6kR,4
Dg1bwchgXcv,202401,ncgkwcQrfmc,gfnhhtdqDcG,fpkkdSpN6kR,280
Dg1bwchgXcv,202401,ncgkwcQrfmc,EDtwVcOEDcA,fpkkdSpN6kR,301
Dg1bwchgXcv,202401,ncgkwcQrfmc,oZv8BkOLRcU,fpkkdSpN6kR,4
Dg1bwchgXcv,202401,ncgkwcQrfmc,ms6Sod3ziv8,fpkkdSpN6kR,1
Dg1bwchgXcv,202401,ncgkwcQrfmc,O2pU6T4d4Sf,fpkkdSpN6kR,53
Dg1bwchgXcv,202401,ncgkwcQrfmc,ILrydJ85YJS,fpkkdSpN6kR,4
Dg1bwchgXcv,202401,ncgkwcQrfmc,GxN6BRrf6Ov,fpkkdSpN6kR,5
Dg1bwchgXcv,202401,ncgkwcQrfmc,uxHmHucHKGb,fpkkdSpN6kR,1
Dg1bwchgXcv,202401,ncgkwcQrfmc,MSKJRNQXjDW,fpkkdSpN6kR,6
Dg1bwchgXcv,202401,ncgkwcQrfmc,yjCmYub9dID,fpkkdSpN6kR,201
Dg1bwchgXcv,202401,ncgkwcQrfmc,Uv6BeIxBUN7,fpkkdSpN6kR,3
Dg1bwchgXcv,202401,ncgkwcQrfmc,zUIRAoMAzuQ,fpkkdSpN6kR,4
Dg1bwchgXcv,202401,ncgkwcQrfmc,B5N2v6Og8eG,fpkkdSpN6kR,1
Dg1bwchgXcv,202401,ncgkwcQrfmc,mTxMT3Y5trS,fpkkdSpN6kR,1
